,id,name,pos,evenTimeOnIce,evenPoints
0,8471233.0,Travis Zajac,C,942:36,21.0
1,8474056.0,P.K. Subban,D,1232:41,12.0
2,8475151.0,Kyle Palmieri,R,891:54,27.0
3,8476368.0,Fredrik Claesson,D,68:22,2.0
4,8476923.0,Damon Severson,D,1277:50,21.0
5,8476941.0,Connor Carrick,D,402:01,6.0
6,8477038.0,Nikita Gusev,L,805:25,29.0
7,8477355.0,Will Butcher,D,918:16,20.0
8,8477401.0,John Hayden,C,406:41,4.0
9,8477425.0,Miles Wood,L,841:58,23.0
10,8477509.0,Mirco Mueller,D,772:26,6.0
11,8477541.0,Dakota Mermis,D,171:52,4.0
12,8478401.0,Pavel Zacha,C,818:37,20.0
13,8479291.0,Kevin Rooney,C,470:43,6.0
14,8479315.0,Joey Anderson,R,201:18,6.0
15,8479407.0,Jesper Bratt,L,716:17,26.0
16,8479415.0,Michael McLeod,C,120:51,2.0
17,8480002.0,Nico Hischier,C,838:15,24.0
18,8481559.0,Jack Hughes,C,772:59,12.0
19,8470187.0,Johnny Boychuk,D,968:51,10.0
20,8471217.0,Andrew Ladd,L,46:49,1.0
21,8472382.0,Andy Greene,D,1027:43,11.0
22,8473463.0,Leo Komarov,R,536:37,13.0
23,8473504.0,Cal Clutterbuck,R,412:37,5.0
24,8473544.0,Derick Brassard,C,787:41,22.0
25,8474573.0,Josh Bailey,R,929:08,33.0
26,8474586.0,Jordan Eberle,R,882:00,29.0
27,8474709.0,Matt Martin,L,558:19,8.0
28,8475181.0,Nick Leddy,D,1146:57,17.0
29,8475231.0,Casey Cizikas,C,571:52,9.0
30,8475314.0,Anders Lee,L,1087:49,36.0
31,8475754.0,Brock Nelson,C,1037:12,47.0
32,8475832.0,Tom Kuhnhackl,R,279:15,5.0
33,8476419.0,Jean-Gabriel Pageau,C,1013:04,26.0
34,8476429.0,Scott Mayfield,D,1165:06,11.0
35,8476917.0,Adam Pelech,D,695:01,7.0
36,8477506.0,Ryan Pulock,D,1302:12,27.0
37,8477527.0,Ross Johnston,L,255:30,4.0
38,8477936.0,Michael Dal Colle,L,610:18,10.0
39,8478038.0,Devon Toews,D,1236:53,22.0
40,8478445.0,Mathew Barzal,C,1183:08,48.0
41,8478463.0,Anthony Beauvillier,L,1009:02,31.0
42,8479526.0,Otto Koivula,L,93:44,0.0
43,8480865.0,Noah Dobson,D,419:01,6.0
44,8474230.0,Micheal Haley,C,121:07,1.0
45,8471686.0,Marc Staal,D,772:35,11.0
46,8474090.0,Brendan Smith,D,557:05,6.0
47,8475184.0,Chris Kreider,L,866:17,32.0
48,8475735.0,Greg McKegg,C,455:59,7.0
49,8475855.0,Jesper Fast,R,976:03,27.0
50,8476396.0,Steven Fogarty,C,40:01,0.0
51,8476458.0,Ryan Strome,C,1007:34,41.0
52,8476459.0,Mika Zibanejad,C,874:11,43.0
53,8476858.0,Phillip Di Giuseppe,L,223:59,4.0
54,8476885.0,Jacob Trouba,D,1279:20,17.0
55,8477402.0,Pavel Buchnevich,R,993:44,37.0
56,8477950.0,Tony DeAngelo,D,1098:55,34.0
57,8477962.0,Brendan Lemieux,L,644:42,11.0
58,8478550.0,Artemi Panarin,L,1162:43,71.0
59,8479323.0,Adam Fox,D,1175:28,29.0
60,8479324.0,Ryan Lindgren,D,862:45,14.0
61,8479328.0,Julien Gauthier,R,139:29,3.0
62,8479333.0,Libor Hajek,D,419:31,5.0
63,8479353.0,Brett Howden,C,759:03,15.0
64,8479364.0,Tim Gettinger,L,15:35,1.0
65,8480078.0,Filip Chytil,C,811:58,20.0
66,8481554.0,Kaapo Kakko,R,794:09,10.0
67,8477502.0,Samuel Morin,D,12:32,0.0
68,8473485.0,Chris Stewart,R,123:43,1.0
69,8470775.0,Nate Thompson,C,734:49,14.0
70,8471702.0,Matt Niskanen,D,1171:23,19.0
71,8473512.0,Claude Giroux,C,1031:39,31.0
72,8474027.0,Justin Braun,D,948:27,18.0
73,8474037.0,James van Riemsdyk,L,813:13,31.0
74,8474161.0,Jakub Voracek,R,970:42,39.0
75,8474683.0,Derek Grant,C,604:16,18.0
76,8475752.0,Tyler Pitlick,C,689:44,20.0
77,8475763.0,Kevin Hayes,C,971:19,30.0
78,8476404.0,Andy Andreoff,C,119:21,1.0
79,8476461.0,Sean Couturier,C,1037:23,46.0
80,8476872.0,Scott Laughton,C,626:23,27.0
81,8476906.0,Shayne Gostisbehere,D,655:25,7.0
82,8477290.0,Michael Raffl,L,641:06,18.0
83,8477462.0,Robert Hagg,D,708:30,12.0
84,8477948.0,Travis Sanheim,D,1203:24,21.0
85,8477979.0,Nicolas Aube-Kubel,R,370:40,12.0
86,8478017.0,Mark Friedman,D,81:04,1.0
87,8478067.0,Oskar Lindblom,L,416:39,14.0
88,8478439.0,Travis Konecny,R,918:19,38.0
89,8478500.0,Ivan Provorov,D,1314:34,19.0
90,8479026.0,Philippe Myers,D,831:01,16.0
91,8479382.0,Connor Bunnaman,C,193:37,2.0
92,8480028.0,Morgan Frost,C,228:04,6.0
