id,name,year,overall,Pos,BirthDate,PID
42771,Fredrik Olausson,1985,81,D,1966-04-10,None
33488,Erik Hamalainen,1985,197,D,1965-04-20,8456485
42737,Janne Ojanen,1986,45,C,1968-04-09,8449964
40883,Dave Mcllwain,1986,172,C,1967-06-09,8449488
51057,Jimmy Waite,1987,8,G,1969-04-15,8452246
31075,Jesper Duus,1987,241,D,1967-11-24,8456144
44115,Adrian Plavsic,1988,30,D,1970-01-13,8450471
45223,Barry Richter,1988,32,D,1970-09-11,8457805
43445,Petr Pavlas,1988,183,D,1968-02-04,8457632
32749,Glen Goodall,1988,206,C,1970-01-22,8456386
15569,Jason Marshall,1989,9,D,1971-02-22,8457222
41248,Jason Miller,1989,18,N/A,1971-03-01,8449632
40414,Kent Manderville,1989,24,C,1971-04-12,8457203
35690,Patrik Juhlin,1989,34,L,1970-04-24,8456759
6554,Ted Drury,1989,42,C,1971-09-13,8456118
27563,Niklas Andersson,1989,68,L,1971-05-20,8455447
45087,Robert Reichel,1989,70,C,1971-06-25,8450767
31722,Sergei Fedorov,1989,74,C,1969-12-13,8446788
28546,Josef Beranek,1989,78,N/A,1969-10-25,8455575
38788,Dan Lambert,1989,106,D,1970-01-12,8456956
10101,Brett Harkins,1989,133,L,1970-07-02,8456512
51000,Jiri Vykoukal,1989,208,D,1971-03-11,8458333
48389,Mika Stromberg,1990,211,D,1970-02-28,8458146
18178,Owen Nolan,1990,1,R,1972-02-12,8449895
41930,Petr Nedved,1990,2,C,1971-12-09,8449807
35067,Jaromir Jagr,1990,5,R,1972-02-15,8448208
22720,John Slaney,1990,9,D,1972-02-02,8458048
9503,Mark Greig,1990,15,R,1970-01-25,8447383
47483,Jiri Slegr,1990,23,D,1971-05-30,8458052
22572,Chris Simon,1990,25,L,1972-01-30,8458031
24123,Chris Taylor,1990,27,C,1972-03-06,8458185
50559,Vesa Viitakoski,1990,32,L,1971-02-13,8458314
30906,Ivan Droppa,1990,37,D,1972-02-01,8456115
45146,Mikael Renberg,1990,40,R,1972-05-05,8457785
37850,Vyacheslav Kozlov,1990,45,L,1972-05-03,8456887
40983,Roman Meluzin,1990,74,C,1972-06-17,8457360
29385,Chris Bright,1990,78,R,1970-10-14,8455701
52219,Sergei Zubov,1990,85,D,1970-07-22,8458494
45342,Lubos Rob,1990,99,N/A,1970-08-05,8457813
38281,Peter Kuchyna,1990,104,D,1970-01-14,8456908
866,Mike Bales,1990,105,G,1971-08-06,8455501
49849,Roman Turek,1990,113,G,1970-05-21,8458266
37251,Lubomir Kolnik,1990,116,L,1968-01-23,8456867
37384,Roman Kontsek,1990,135,L,1970-06-11,8456871
37759,Andrei Kovalenko,1990,148,R,1970-06-07,8456882
