PID,Name,Pos,Age,League,GP,G,A,P,Year,Overall
8458146,Mika Stromberg,D,20.0,Finland,42.0,2.0,15.0,17.0,1990.0,211.0
8449895,Owen Nolan,F,18.0,OHL,58.0,51.0,59.0,110.0,1990.0,1.0
8449807,Petr Nedved,F,18.0,WHL,71.0,65.0,80.0,145.0,1990.0,2.0
8448208,Jaromir Jagr,F,18.0,CzRep,42.0,22.0,28.0,50.0,1990.0,5.0
8448208,Jaromir Jagr,F,18.0,WJC-A,7.0,5.0,13.0,18.0,1990.0,5.0
8448208,Jaromir Jagr,F,18.0,WEC-A,10.0,3.0,2.0,5.0,1990.0,5.0
8458048,John Slaney,D,18.0,OHL,64.0,38.0,59.0,97.0,1990.0,9.0
8447383,Mark Greig,F,20.0,WHL,65.0,55.0,80.0,135.0,1990.0,15.0
8458052,Jiri Slegr,D,19.0,CzRep,51.0,4.0,15.0,19.0,1990.0,23.0
8458052,Jiri Slegr,D,19.0,WJC-A,7.0,3.0,4.0,7.0,1990.0,23.0
8458031,Chris Simon,F,18.0,OHL,57.0,36.0,38.0,74.0,1990.0,25.0
8458185,Chris Taylor,F,18.0,OHL,66.0,45.0,60.0,105.0,1990.0,27.0
8458314,Vesa Viitakoski,F,19.0,Fin-Jr.,9.0,9.0,8.0,17.0,1990.0,32.0
8458314,Vesa Viitakoski,F,19.0,Finland,44.0,24.0,10.0,34.0,1990.0,32.0
8458314,Vesa Viitakoski,F,19.0,WJC-A,7.0,6.0,1.0,7.0,1990.0,32.0
8456115,Ivan Droppa,D,18.0,EJC-A,6.0,4.0,2.0,6.0,1990.0,37.0
8457785,Mikael Renberg,F,18.0,Sweden-2,29.0,15.0,19.0,34.0,1990.0,40.0
8457785,Mikael Renberg,F,18.0,EJC-A,6.0,7.0,1.0,8.0,1990.0,40.0
8456887,Vyacheslav Kozlov,F,18.0,USSR,45.0,14.0,12.0,26.0,1990.0,45.0
8456887,Vyacheslav Kozlov,F,18.0,WJC-A,7.0,4.0,7.0,11.0,1990.0,45.0
8456887,Vyacheslav Kozlov,F,18.0,EJC-A,6.0,9.0,10.0,19.0,1990.0,45.0
8457360,Roman Meluzin,F,18.0,CzRep,34.0,4.0,6.0,10.0,1990.0,74.0
8455701,Chris Bright,F,19.0,WHL,72.0,36.0,38.0,74.0,1990.0,78.0
8458494,Sergei Zubov,D,20.0,Fr-Tour,1.0,0.0,0.0,0.0,1990.0,85.0
8458494,Sergei Zubov,D,20.0,USSR,48.0,6.0,2.0,8.0,1990.0,85.0
8458494,Sergei Zubov,D,20.0,WJC-A,7.0,1.0,3.0,4.0,1990.0,85.0
8457813,Lubos Rob,F,20.0,CzRep,47.0,16.0,24.0,40.0,1990.0,99.0
8457813,Lubos Rob,F,20.0,WJC-20,7.0,4.0,1.0,5.0,1990.0,99.0
8456908,Peter Kuchyna,D,20.0,CzRep,32.0,2.0,2.0,4.0,1990.0,104.0
8456908,Peter Kuchyna,D,20.0,WJC-20,7.0,2.0,2.0,4.0,1990.0,104.0
8456867,Lubomir Kolnik,F,22.0,CzRep,53.0,37.0,25.0,62.0,1990.0,116.0
8456871,Roman Kontsek,F,20.0,CzRep,21.0,8.0,7.0,15.0,1990.0,135.0
8456882,Andrei Kovalenko,F,20.0,Fr-Tour,1.0,0.0,0.0,0.0,1990.0,148.0
8456882,Andrei Kovalenko,F,20.0,USSR,48.0,8.0,5.0,13.0,1990.0,148.0
8456882,Andrei Kovalenko,F,20.0,WJC-A,7.0,5.0,6.0,11.0,1990.0,148.0
8456793,Alexander Karpovtsev,D,20.0,USSR,35.0,1.0,1.0,2.0,1990.0,158.0
8456793,Alexander Karpovtsev,D,20.0,WJC-A,7.0,0.0,1.0,1.0,1990.0,158.0
8457480,Milan Nedoma,D,18.0,CzRep,35.0,1.0,4.0,5.0,1990.0,166.0
8457480,Milan Nedoma,D,18.0,EJC-18,6.0,1.0,2.0,3.0,1990.0,166.0
8457403,Jaroslav Modry,D,19.0,CzRep,41.0,2.0,2.0,4.0,1990.0,179.0
8455413,Mika Alatalo,F,19.0,Fin-Jr.,6.0,6.0,3.0,9.0,1990.0,203.0
8455413,Mika Alatalo,F,19.0,Finland,41.0,3.0,5.0,8.0,1990.0,203.0
8455413,Mika Alatalo,F,19.0,WJC-A,7.0,2.0,1.0,3.0,1990.0,203.0
8458751,Marko Jantunen,F,20.0,Fin-Jr.,1.0,0.0,4.0,4.0,1991.0,239.0
8458751,Marko Jantunen,F,20.0,Finland,39.0,9.0,20.0,29.0,1991.0,239.0
8458751,Marko Jantunen,F,20.0,WJC-A,7.0,3.0,10.0,13.0,1991.0,239.0
8458520,Peter Forsberg,F,18.0,Swe-Jr.,39.0,38.0,64.0,102.0,1991.0,6.0
8458520,Peter Forsberg,F,18.0,Sweden,23.0,7.0,10.0,17.0,1991.0,6.0
8458520,Peter Forsberg,F,18.0,EJC-A,6.0,5.0,12.0,17.0,1991.0,6.0
8458529,Alex Kovalev,F,18.0,USSR,18.0,1.0,2.0,3.0,1991.0,15.0
8458529,Alex Kovalev,F,18.0,Super-S,1.0,0.0,0.0,0.0,1991.0,15.0
8458529,Alex Kovalev,F,18.0,EJC-A,5.0,8.0,3.0,11.0,1991.0,15.0
8458529,Alex Kovalev,F,18.0,EJC-A,6.0,8.0,3.0,11.0,1991.0,15.0
8458530,Markus Naslund,F,18.0,Sweden,32.0,10.0,9.0,19.0,1991.0,16.0
8458530,Markus Naslund,F,18.0,EJC-A,6.0,14.0,2.0,16.0,1991.0,16.0
8458533,Niklas Sundblad,F,18.0,Sweden,39.0,1.0,3.0,4.0,1991.0,19.0
8458534,Martin Rucinsky,F,20.0,CzRep,56.0,24.0,20.0,44.0,1991.0,20.0
8458534,Martin Rucinsky,F,20.0,WJC-A,7.0,9.0,5.0,14.0,1991.0,20.0
8458793,Juha Riihijarvi,F,21.0,I-divisioona,42.0,29.0,41.0,70.0,1991.0,254.0
8458540,Ziggy Palffy,F,19.0,CzRep,50.0,34.0,16.0,50.0,1991.0,26.0
8458540,Ziggy Palffy,F,19.0,WJC-A,7.0,7.0,6.0,13.0,1991.0,26.0
8458543,Jassen Cullimore,D,18.0,OHL,62.0,8.0,16.0,24.0,1991.0,29.0
8458544,Sandis Ozolinsh,D,19.0,Fr-Tour,1.0,0.0,0.0,0.0,1991.0,30.0
8458544,Sandis Ozolinsh,D,19.0,WJC-A,7.0,1.0,2.0,3.0,1991.0,30.0
8458545,Martin Hamrlik,D,18.0,CzRep,50.0,8.0,14.0,22.0,1991.0,31.0
8458545,Martin Hamrlik,D,18.0,WJC-A,7.0,2.0,0.0,2.0,1991.0,31.0
8458554,Jozef Stumpel,F,19.0,CzRep,49.0,23.0,22.0,45.0,1991.0,40.0
8458554,Jozef Stumpel,F,19.0,WJC-A,7.0,4.0,4.0,8.0,1991.0,40.0
8458557,Craig Darby,F,18.0,HS,29.0,33.0,61.0,94.0,1991.0,43.0
8458560,Rich Brennan,D,18.0,HS,34.0,13.0,37.0,50.0,1991.0,46.0
8458571,Jason Young,F,18.0,OHL,37.0,21.0,38.0,59.0,1991.0,57.0
8458573,Michael Nylander,F,18.0,Sweden-2,33.0,14.0,20.0,34.0,1991.0,59.0
8458573,Michael Nylander,F,18.0,WJC-A,7.0,6.0,5.0,11.0,1991.0,59.0
8458574,Shane Peacock,D,18.0,WHL,69.0,12.0,50.0,62.0,1991.0,60.0
8458575,Yves Sarault,F,18.0,QMJHL,56.0,22.0,24.0,46.0,1991.0,61.0
8458595,Alexei Zhitnik,D,18.0,Fr-Tour,1.0,0.0,0.0,0.0,1991.0,81.0
8458595,Alexei Zhitnik,D,18.0,WJC-A,7.0,1.0,1.0,2.0,1991.0,81.0
8458598,Brad Tiley,D,20.0,OHL,66.0,11.0,55.0,66.0,1991.0,84.0
